id,o,d,city_o,district_0,city_d,district_d,lon_0,lat_0,lon_1,lat_1
72,Hong Kong,Shenzhen,香港,新界,深圳,盐田区,114.091194,22.396943,114.235366,22.555069
73,Hong Kong,Shenzhen,香港,新界,深圳,罗湖区,114.091194,22.396943,114.123885,22.555341
74,Hong Kong,Shenzhen,香港,新界,深圳,龙岗区,114.091194,22.396943,114.251372,22.721511
75,Hong Kong,Shenzhen,香港,新界,深圳,龙华区,114.091194,22.396943,114.044346,22.691963
76,Hong Kong,Shenzhen,香港,新界,深圳,坪山区,114.091194,22.396943,114.338441,22.69423
77,Hong Kong,Shenzhen,香港,新界,深圳,光明区,114.091194,22.396943,113.935895,22.748816
78,Hong Kong,Zhuhai,香港,新界,珠海,珠海市,114.091194,22.396943,113.553986,22.224979
79,Hong Kong,Foshan,香港,新界,佛山,佛山市,114.091194,22.396943,113.122717,23.028762
80,Hong Kong,Huizhou,香港,新界,惠州,惠州市,114.091194,22.396943,114.412599,23.079404
81,Hong Kong,Dongguang,香港,新界,东莞,东莞市,114.091194,22.396943,113.746262,23.046237
82,Hong Kong,Zhongshan,香港,新界,中山,中山市,114.091194,22.396943,113.382391,22.521113
83,Hong Kong,Jiangmen,香港,新界,江门,江门市,114.091194,22.396943,113.094942,22.590431
84,Hong Kong,Zhaoqing,香港,新界,肇庆,肇庆市,114.091194,22.396943,112.472529,23.051546
85,Macao,Hong Kong,澳门,澳门特别行政区,香港,九龙半岛,113.54909,22.198951,114.202104,22.321462
86,Macao,Hong Kong,澳门,澳门特别行政区,香港,香港岛,113.54909,22.198951,114.180828,22.270967
87,Macao,Hong Kong,澳门,澳门特别行政区,香港,新界,113.54909,22.198951,114.091194,22.396943
88,Macao,Gaungzhou,澳门,澳门特别行政区,广州,从化区,113.54909,22.198951,113.587386,23.545283
89,Macao,Gaungzhou,澳门,澳门特别行政区,广州,增城区,113.54909,22.198951,113.829579,23.290497
90,Macao,Gaungzhou,澳门,澳门特别行政区,广州,花都区,113.54909,22.198951,113.211184,23.39205
91,Macao,Gaungzhou,澳门,澳门特别行政区,广州,南沙区,113.54909,22.198951,113.53738,22.794531
92,Macao,Gaungzhou,澳门,澳门特别行政区,广州,黄埔区,113.54909,22.198951,113.450761,23.103239
93,Macao,Gaungzhou,澳门,澳门特别行政区,广州,天河区,113.54909,22.198951,113.335367,23.13559
94,Macao,Gaungzhou,澳门,澳门特别行政区,广州,白云区,113.54909,22.198951,113.262831,23.162281
95,Macao,Gaungzhou,澳门,澳门特别行政区,广州,番禺区,113.54909,22.198951,113.364619,22.938582
96,Macao,Gaungzhou,澳门,澳门特别行政区,广州,海珠区,113.54909,22.198951,113.262008,23.103131
97,Macao,Gaungzhou,澳门,澳门特别行政区,广州,越秀区,113.54909,22.198951,113.280714,23.125624
98,Macao,Gaungzhou,澳门,澳门特别行政区,广州,荔湾区,113.54909,22.198951,113.243038,23.124943
99,Macao,Shenzhen,澳门,澳门特别行政区,深圳,宝安区,113.54909,22.198951,113.828671,22.754741
100,Macao,Shenzhen,澳门,澳门特别行政区,深圳,南山区,113.54909,22.198951,113.92943,22.531221
101,Macao,Shenzhen,澳门,澳门特别行政区,深圳,福田区,113.54909,22.198951,114.05096,22.541009
102,Macao,Shenzhen,澳门,澳门特别行政区,深圳,盐田区,113.54909,22.198951,114.235366,22.555069
103,Macao,Shenzhen,澳门,澳门特别行政区,深圳,罗湖区,113.54909,22.198951,114.123885,22.555341
104,Macao,Shenzhen,澳门,澳门特别行政区,深圳,龙岗区,113.54909,22.198951,114.251372,22.721511
105,Macao,Shenzhen,澳门,澳门特别行政区,深圳,龙华区,113.54909,22.198951,114.044346,22.691963
106,Macao,Shenzhen,澳门,澳门特别行政区,深圳,坪山区,113.54909,22.198951,114.338441,22.69423
107,Macao,Shenzhen,澳门,澳门特别行政区,深圳,光明区,113.54909,22.198951,113.935895,22.748816
108,Macao,Zhuhai,澳门,澳门特别行政区,珠海,珠海市,113.54909,22.198951,113.553986,22.224979
109,Macao,Foshan,澳门,澳门特别行政区,佛山,佛山市,113.54909,22.198951,113.122717,23.028762
110,Macao,Huizhou,澳门,澳门特别行政区,惠州,惠州市,113.54909,22.198951,114.412599,23.079404
111,Macao,Dongguang,澳门,澳门特别行政区,东莞,东莞市,113.54909,22.198951,113.746262,23.046237
112,Macao,Zhongshan,澳门,澳门特别行政区,中山,中山市,113.54909,22.198951,113.382391,22.521113
113,Macao,Jiangmen,澳门,澳门特别行政区,江门,江门市,113.54909,22.198951,113.094942,22.590431
114,Macao,Zhaoqing,澳门,澳门特别行政区,肇庆,肇庆市,113.54909,22.198951,112.472529,23.051546
115,Gaungzhou,Hong Kong,广州,从化区,香港,九龙半岛,113.587386,23.545283,114.202104,22.321462
116,Gaungzhou,Hong Kong,广州,从化区,香港,香港岛,113.587386,23.545283,114.180828,22.270967
117,Gaungzhou,Hong Kong,广州,从化区,香港,新界,113.587386,23.545283,114.091194,22.396943
118,Gaungzhou,Macao,广州,从化区,澳门,澳门特别行政区,113.587386,23.545283,113.54909,22.198951
119,Gaungzhou,Shenzhen,广州,从化区,深圳,宝安区,113.587386,23.545283,113.828671,22.754741
120,Gaungzhou,Shenzhen,广州,从化区,深圳,南山区,113.587386,23.545283,113.92943,22.531221
121,Gaungzhou,Shenzhen,广州,从化区,深圳,福田区,113.587386,23.545283,114.05096,22.541009
122,Gaungzhou,Shenzhen,广州,从化区,深圳,盐田区,113.587386,23.545283,114.235366,22.555069
123,Gaungzhou,Shenzhen,广州,从化区,深圳,罗湖区,113.587386,23.545283,114.123885,22.555341
124,Gaungzhou,Shenzhen,广州,从化区,深圳,龙岗区,113.587386,23.545283,114.251372,22.721511
125,Gaungzhou,Shenzhen,广州,从化区,深圳,龙华区,113.587386,23.545283,114.044346,22.691963
126,Gaungzhou,Shenzhen,广州,从化区,深圳,坪山区,113.587386,23.545283,114.338441,22.69423
127,Gaungzhou,Shenzhen,广州,从化区,深圳,光明区,113.587386,23.545283,113.935895,22.748816
128,Gaungzhou,Zhuhai,广州,从化区,珠海,珠海市,113.587386,23.545283,113.553986,22.224979
129,Gaungzhou,Foshan,广州,从化区,佛山,佛山市,113.587386,23.545283,113.122717,23.028762
130,Gaungzhou,Huizhou,广州,从化区,惠州,惠州市,113.587386,23.545283,114.412599,23.079404
131,Gaungzhou,Dongguang,广州,从化区,东莞,东莞市,113.587386,23.545283,113.746262,23.046237
132,Gaungzhou,Zhongshan,广州,从化区,中山,中山市,113.587386,23.545283,113.382391,22.521113
133,Gaungzhou,Jiangmen,广州,从化区,江门,江门市,113.587386,23.545283,113.094942,22.590431
134,Gaungzhou,Zhaoqing,广州,从化区,肇庆,肇庆市,113.587386,23.545283,112.472529,23.051546
135,Gaungzhou,Hong Kong,广州,增城区,香港,九龙半岛,113.829579,23.290497,114.202104,22.321462
136,Gaungzhou,Hong Kong,广州,增城区,香港,香港岛,113.829579,23.290497,114.180828,22.270967
137,Gaungzhou,Hong Kong,广州,增城区,香港,新界,113.829579,23.290497,114.091194,22.396943
138,Gaungzhou,Macao,广州,增城区,澳门,澳门特别行政区,113.829579,23.290497,113.54909,22.198951
139,Gaungzhou,Shenzhen,广州,增城区,深圳,宝安区,113.829579,23.290497,113.828671,22.754741
140,Gaungzhou,Shenzhen,广州,增城区,深圳,南山区,113.829579,23.290497,113.92943,22.531221
141,Gaungzhou,Shenzhen,广州,增城区,深圳,福田区,113.829579,23.290497,114.05096,22.541009
142,Gaungzhou,Shenzhen,广州,增城区,深圳,盐田区,113.829579,23.290497,114.235366,22.555069
143,Gaungzhou,Shenzhen,广州,增城区,深圳,罗湖区,113.829579,23.290497,114.123885,22.555341
144,Gaungzhou,Shenzhen,广州,增城区,深圳,龙岗区,113.829579,23.290497,114.251372,22.721511
145,Gaungzhou,Shenzhen,广州,增城区,深圳,龙华区,113.829579,23.290497,114.044346,22.691963
146,Gaungzhou,Shenzhen,广州,增城区,深圳,坪山区,113.829579,23.290497,114.338441,22.69423
147,Gaungzhou,Shenzhen,广州,增城区,深圳,光明区,113.829579,23.290497,113.935895,22.748816
148,Gaungzhou,Zhuhai,广州,增城区,珠海,珠海市,113.829579,23.290497,113.553986,22.224979
149,Gaungzhou,Foshan,广州,增城区,佛山,佛山市,113.829579,23.290497,113.122717,23.028762
150,Gaungzhou,Huizhou,广州,增城区,惠州,惠州市,113.829579,23.290497,114.412599,23.079404
151,Gaungzhou,Dongguang,广州,增城区,东莞,东莞市,113.829579,23.290497,113.746262,23.046237
152,Gaungzhou,Zhongshan,广州,增城区,中山,中山市,113.829579,23.290497,113.382391,22.521113
153,Gaungzhou,Jiangmen,广州,增城区,江门,江门市,113.829579,23.290497,113.094942,22.590431
154,Gaungzhou,Zhaoqing,广州,增城区,肇庆,肇庆市,113.829579,23.290497,112.472529,23.051546
155,Gaungzhou,Hong Kong,广州,花都区,香港,九龙半岛,113.211184,23.39205,114.202104,22.321462
156,Gaungzhou,Hong Kong,广州,花都区,香港,香港岛,113.211184,23.39205,114.180828,22.270967
157,Gaungzhou,Hong Kong,广州,花都区,香港,新界,113.211184,23.39205,114.091194,22.396943
158,Gaungzhou,Macao,广州,花都区,澳门,澳门特别行政区,113.211184,23.39205,113.54909,22.198951
159,Gaungzhou,Shenzhen,广州,花都区,深圳,宝安区,113.211184,23.39205,113.828671,22.754741
160,Gaungzhou,Shenzhen,广州,花都区,深圳,南山区,113.211184,23.39205,113.92943,22.531221
161,Gaungzhou,Shenzhen,广州,花都区,深圳,福田区,113.211184,23.39205,114.05096,22.541009
162,Gaungzhou,Shenzhen,广州,花都区,深圳,盐田区,113.211184,23.39205,114.235366,22.555069
163,Gaungzhou,Shenzhen,广州,花都区,深圳,罗湖区,113.211184,23.39205,114.123885,22.555341
164,Gaungzhou,Shenzhen,广州,花都区,深圳,龙岗区,113.211184,23.39205,114.251372,22.721511
165,Gaungzhou,Shenzhen,广州,花都区,深圳,龙华区,113.211184,23.39205,114.044346,22.691963
166,Gaungzhou,Shenzhen,广州,花都区,深圳,坪山区,113.211184,23.39205,114.338441,22.69423
167,Gaungzhou,Shenzhen,广州,花都区,深圳,光明区,113.211184,23.39205,113.935895,22.748816
168,Gaungzhou,Zhuhai,广州,花都区,珠海,珠海市,113.211184,23.39205,113.553986,22.224979
169,Gaungzhou,Foshan,广州,花都区,佛山,佛山市,113.211184,23.39205,113.122717,23.028762
170,Gaungzhou,Huizhou,广州,花都区,惠州,惠州市,113.211184,23.39205,114.412599,23.079404
171,Gaungzhou,Dongguang,广州,花都区,东莞,东莞市,113.211184,23.39205,113.746262,23.046237
172,Gaungzhou,Zhongshan,广州,花都区,中山,中山市,113.211184,23.39205,113.382391,22.521113
173,Gaungzhou,Jiangmen,广州,花都区,江门,江门市,113.211184,23.39205,113.094942,22.590431
174,Gaungzhou,Zhaoqing,广州,花都区,肇庆,肇庆市,113.211184,23.39205,112.472529,23.051546
175,Gaungzhou,Hong Kong,广州,南沙区,香港,九龙半岛,113.53738,22.794531,114.202104,22.321462
176,Gaungzhou,Hong Kong,广州,南沙区,香港,香港岛,113.53738,22.794531,114.180828,22.270967
177,Gaungzhou,Hong Kong,广州,南沙区,香港,新界,113.53738,22.794531,114.091194,22.396943
178,Gaungzhou,Macao,广州,南沙区,澳门,澳门特别行政区,113.53738,22.794531,113.54909,22.198951
179,Gaungzhou,Shenzhen,广州,南沙区,深圳,宝安区,113.53738,22.794531,113.828671,22.754741
180,Gaungzhou,Shenzhen,广州,南沙区,深圳,南山区,113.53738,22.794531,113.92943,22.531221
181,Gaungzhou,Shenzhen,广州,南沙区,深圳,福田区,113.53738,22.794531,114.05096,22.541009
182,Gaungzhou,Shenzhen,广州,南沙区,深圳,盐田区,113.53738,22.794531,114.235366,22.555069
183,Gaungzhou,Shenzhen,广州,南沙区,深圳,罗湖区,113.53738,22.794531,114.123885,22.555341
184,Gaungzhou,Shenzhen,广州,南沙区,深圳,龙岗区,113.53738,22.794531,114.251372,22.721511
185,Gaungzhou,Shenzhen,广州,南沙区,深圳,龙华区,113.53738,22.794531,114.044346,22.691963
186,Gaungzhou,Shenzhen,广州,南沙区,深圳,坪山区,113.53738,22.794531,114.338441,22.69423
187,Gaungzhou,Shenzhen,广州,南沙区,深圳,光明区,113.53738,22.794531,113.935895,22.748816
188,Gaungzhou,Zhuhai,广州,南沙区,珠海,珠海市,113.53738,22.794531,113.553986,22.224979
189,Gaungzhou,Foshan,广州,南沙区,佛山,佛山市,113.53738,22.794531,113.122717,23.028762
190,Gaungzhou,Huizhou,广州,南沙区,惠州,惠州市,113.53738,22.794531,114.412599,23.079404
191,Gaungzhou,Dongguang,广州,南沙区,东莞,东莞市,113.53738,22.794531,113.746262,23.046237
192,Gaungzhou,Zhongshan,广州,南沙区,中山,中山市,113.53738,22.794531,113.382391,22.521113
193,Gaungzhou,Jiangmen,广州,南沙区,江门,江门市,113.53738,22.794531,113.094942,22.590431
194,Gaungzhou,Zhaoqing,广州,南沙区,肇庆,肇庆市,113.53738,22.794531,112.472529,23.051546
195,Gaungzhou,Hong Kong,广州,黄埔区,香港,九龙半岛,113.450761,23.103239,114.202104,22.321462
196,Gaungzhou,Hong Kong,广州,黄埔区,香港,香港岛,113.450761,23.103239,114.180828,22.270967
197,Gaungzhou,Hong Kong,广州,黄埔区,香港,新界,113.450761,23.103239,114.091194,22.396943
198,Gaungzhou,Macao,广州,黄埔区,澳门,澳门特别行政区,113.450761,23.103239,113.54909,22.198951
199,Gaungzhou,Shenzhen,广州,黄埔区,深圳,宝安区,113.450761,23.103239,113.828671,22.754741
200,Gaungzhou,Shenzhen,广州,黄埔区,深圳,南山区,113.450761,23.103239,113.92943,22.531221
201,Gaungzhou,Shenzhen,广州,黄埔区,深圳,福田区,113.450761,23.103239,114.05096,22.541009
202,Gaungzhou,Shenzhen,广州,黄埔区,深圳,盐田区,113.450761,23.103239,114.235366,22.555069
203,Gaungzhou,Shenzhen,广州,黄埔区,深圳,罗湖区,113.450761,23.103239,114.123885,22.555341
204,Gaungzhou,Shenzhen,广州,黄埔区,深圳,龙岗区,113.450761,23.103239,114.251372,22.721511
205,Gaungzhou,Shenzhen,广州,黄埔区,深圳,龙华区,113.450761,23.103239,114.044346,22.691963
206,Gaungzhou,Shenzhen,广州,黄埔区,深圳,坪山区,113.450761,23.103239,114.338441,22.69423
207,Gaungzhou,Shenzhen,广州,黄埔区,深圳,光明区,113.450761,23.103239,113.935895,22.748816
208,Gaungzhou,Zhuhai,广州,黄埔区,珠海,珠海市,113.450761,23.103239,113.553986,22.224979
209,Gaungzhou,Foshan,广州,黄埔区,佛山,佛山市,113.450761,23.103239,113.122717,23.028762
210,Gaungzhou,Huizhou,广州,黄埔区,惠州,惠州市,113.450761,23.103239,114.412599,23.079404
211,Gaungzhou,Dongguang,广州,黄埔区,东莞,东莞市,113.450761,23.103239,113.746262,23.046237
212,Gaungzhou,Zhongshan,广州,黄埔区,中山,中山市,113.450761,23.103239,113.382391,22.521113
213,Gaungzhou,Jiangmen,广州,黄埔区,江门,江门市,113.450761,23.103239,113.094942,22.590431
214,Gaungzhou,Zhaoqing,广州,黄埔区,肇庆,肇庆市,113.450761,23.103239,112.472529,23.051546
215,Gaungzhou,Hong Kong,广州,天河区,香港,九龙半岛,113.335367,23.13559,114.202104,22.321462
216,Gaungzhou,Hong Kong,广州,天河区,香港,香港岛,113.335367,23.13559,114.180828,22.270967
217,Gaungzhou,Hong Kong,广州,天河区,香港,新界,113.335367,23.13559,114.091194,22.396943
218,Gaungzhou,Macao,广州,天河区,澳门,澳门特别行政区,113.335367,23.13559,113.54909,22.198951
219,Gaungzhou,Shenzhen,广州,天河区,深圳,宝安区,113.335367,23.13559,113.828671,22.754741
220,Gaungzhou,Shenzhen,广州,天河区,深圳,南山区,113.335367,23.13559,113.92943,22.531221
221,Gaungzhou,Shenzhen,广州,天河区,深圳,福田区,113.335367,23.13559,114.05096,22.541009
222,Gaungzhou,Shenzhen,广州,天河区,深圳,盐田区,113.335367,23.13559,114.235366,22.555069
223,Gaungzhou,Shenzhen,广州,天河区,深圳,罗湖区,113.335367,23.13559,114.123885,22.555341
224,Gaungzhou,Shenzhen,广州,天河区,深圳,龙岗区,113.335367,23.13559,114.251372,22.721511
225,Gaungzhou,Shenzhen,广州,天河区,深圳,龙华区,113.335367,23.13559,114.044346,22.691963
226,Gaungzhou,Shenzhen,广州,天河区,深圳,坪山区,113.335367,23.13559,114.338441,22.69423
227,Gaungzhou,Shenzhen,广州,天河区,深圳,光明区,113.335367,23.13559,113.935895,22.748816
228,Gaungzhou,Zhuhai,广州,天河区,珠海,珠海市,113.335367,23.13559,113.553986,22.224979
229,Gaungzhou,Foshan,广州,天河区,佛山,佛山市,113.335367,23.13559,113.122717,23.028762
230,Gaungzhou,Huizhou,广州,天河区,惠州,惠州市,113.335367,23.13559,114.412599,23.079404
231,Gaungzhou,Dongguang,广州,天河区,东莞,东莞市,113.335367,23.13559,113.746262,23.046237
232,Gaungzhou,Zhongshan,广州,天河区,中山,中山市,113.335367,23.13559,113.382391,22.521113
233,Gaungzhou,Jiangmen,广州,天河区,江门,江门市,113.335367,23.13559,113.094942,22.590431
234,Gaungzhou,Zhaoqing,广州,天河区,肇庆,肇庆市,113.335367,23.13559,112.472529,23.051546
235,Gaungzhou,Hong Kong,广州,白云区,香港,九龙半岛,113.262831,23.162281,114.202104,22.321462
236,Gaungzhou,Hong Kong,广州,白云区,香港,香港岛,113.262831,23.162281,114.180828,22.270967
237,Gaungzhou,Hong Kong,广州,白云区,香港,新界,113.262831,23.162281,114.091194,22.396943
238,Gaungzhou,Macao,广州,白云区,澳门,澳门特别行政区,113.262831,23.162281,113.54909,22.198951
239,Gaungzhou,Shenzhen,广州,白云区,深圳,宝安区,113.262831,23.162281,113.828671,22.754741
240,Gaungzhou,Shenzhen,广州,白云区,深圳,南山区,113.262831,23.162281,113.92943,22.531221
241,Gaungzhou,Shenzhen,广州,白云区,深圳,福田区,113.262831,23.162281,114.05096,22.541009
242,Gaungzhou,Shenzhen,广州,白云区,深圳,盐田区,113.262831,23.162281,114.235366,22.555069
243,Gaungzhou,Shenzhen,广州,白云区,深圳,罗湖区,113.262831,23.162281,114.123885,22.555341
244,Gaungzhou,Shenzhen,广州,白云区,深圳,龙岗区,113.262831,23.162281,114.251372,22.721511
245,Gaungzhou,Shenzhen,广州,白云区,深圳,龙华区,113.262831,23.162281,114.044346,22.691963
246,Gaungzhou,Shenzhen,广州,白云区,深圳,坪山区,113.262831,23.162281,114.338441,22.69423
247,Gaungzhou,Shenzhen,广州,白云区,深圳,光明区,113.262831,23.162281,113.935895,22.748816
248,Gaungzhou,Zhuhai,广州,白云区,珠海,珠海市,113.262831,23.162281,113.553986,22.224979
249,Gaungzhou,Foshan,广州,白云区,佛山,佛山市,113.262831,23.162281,113.122717,23.028762
250,Gaungzhou,Huizhou,广州,白云区,惠州,惠州市,113.262831,23.162281,114.412599,23.079404
251,Gaungzhou,Dongguang,广州,白云区,东莞,东莞市,113.262831,23.162281,113.746262,23.046237
252,Gaungzhou,Zhongshan,广州,白云区,中山,中山市,113.262831,23.162281,113.382391,22.521113
253,Gaungzhou,Jiangmen,广州,白云区,江门,江门市,113.262831,23.162281,113.094942,22.590431
254,Gaungzhou,Zhaoqing,广州,白云区,肇庆,肇庆市,113.262831,23.162281,112.472529,23.051546
255,Gaungzhou,Hong Kong,广州,番禺区,香港,九龙半岛,113.364619,22.938582,114.202104,22.321462
256,Gaungzhou,Hong Kong,广州,番禺区,香港,香港岛,113.364619,22.938582,114.180828,22.270967
257,Gaungzhou,Hong Kong,广州,番禺区,香港,新界,113.364619,22.938582,114.091194,22.396943
258,Gaungzhou,Macao,广州,番禺区,澳门,澳门特别行政区,113.364619,22.938582,113.54909,22.198951
259,Gaungzhou,Shenzhen,广州,番禺区,深圳,宝安区,113.364619,22.938582,113.828671,22.754741
260,Gaungzhou,Shenzhen,广州,番禺区,深圳,南山区,113.364619,22.938582,113.92943,22.531221
261,Gaungzhou,Shenzhen,广州,番禺区,深圳,福田区,113.364619,22.938582,114.05096,22.541009
